index,series_name,network,imdb,engagement,date_aired,run_time,format,monster_name,monster_gender,monster_type,monster_species,monster_real,monster_amount,suspects_amount,arrested,culprit_gender,culprit_amount,motive,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo
78,The Scooby-Doo Show,ABC,7.9,77.0,1977-10-01,24,TV Series,Phantom of Milo Booth,Male,Ghost,Human,False,1,6,True,Male,1,Competition,1.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,0.0,0.0,1.0
81,The Scooby-Doo Show,ABC,7.4,75.0,1977-10-08,24,TV Series,Phantom Racer,Male,Ghost,Human,False,1,4,True,Male,1,Theft,1.0,0.0,0.0,7.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0
84,The Scooby-Doo Show,ABC,8.1,78.0,1977-10-15,24,TV Series,"Ghost of Witch McCoy,Zombie","Female,Male,","Ghost,Undead","Human,Human",False,2,3,True,"Female,Male",2,Smuggling,2.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0
87,The Scooby-Doo Show,ABC,7.7,78.0,1977-10-22,24,TV Series,Futuristic Monster,Male,Animal,Insect,False,1,2,True,"Male,Male",2,Theft,1.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0
90,The Scooby-Doo Show,ABC,7.4,71.0,1977-10-29,24,TV Series,"Creepy Heap from the Deep,Soulless Captain Clements","Male,Male","Animal,Undead","Sea-Monster,Human",False,2,2,True,"Male,Male",2,Smuggling,0.0,0.0,1.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,1.0
109,The Scooby-Doo Show,ABC,7.5,96.0,1978-09-09,22,TV Series,"Willawa,Owl Men,Owl Men","Male,Male,Male","Animal,Animal,Animal","Owl,Owl,Owl",False,3,1,True,Male,1,Smuggling,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
112,The Scooby-Doo Show,ABC,7.3,101.0,1978-09-16,23,TV Series,"Skeleton Men,Skeleton Men,Skeleton Men","Male,Male,Male","Undead,Undead,Undead","Human,Human,Human",False,3,2,True,Male,1,Theft,0.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0
115,The Scooby-Doo Show,ABC,7.1,98.0,1978-09-23,23,TV Series,Snow Beast,Male,Animal,Snow-Monster,False,1,3,True,Male,1,Natural Resource,0.0,0.0,0.0,6.0,0.0,0.0,1.0,8.0,0.0,1.0,1.0
118,The Scooby-Doo Show,ABC,8.0,107.0,1978-09-30,23,TV Series,Ghost Witch of Old Salem,Female,Ghost,Human,False,1,3,True,"Female,Male",2,Inheritance,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0
121,The Scooby-Doo Show,ABC,7.6,92.0,1978-10-07,22,TV Series,Tar Monster,Male,Possessed Object,Creature,False,1,3,True,Male,1,Treasure,0.0,0.0,0.0,7.0,2.0,0.0,0.0,9.0,0.0,2.0,1.0
124,The Scooby-Doo Show,ABC,7.7,90.0,1978-10-14,23,TV Series,"Ghost of Finnyan McDuff,Loch Ness Monster","Male,Female","Ghost,Mythical","Human,Dinosaur",False,2,3,True,Male,1,Smuggling,0.0,0.0,0.0,4.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0
127,The Scooby-Doo Show,ABC,7.7,80.0,1978-10-21,23,TV Series,Old Iron Face,Male,Disguised,Human,False,1,3,True,Female,1,Smuggling,0.0,0.0,0.0,6.0,2.0,0.0,0.0,9.0,0.0,1.0,1.0
130,The Scooby-Doo Show,ABC,7.2,91.0,1978-10-28,22,TV Series,Jaguaro,Male,Animal,Jungle-Monster,False,1,4,True,"Male,Male",2,Natural Resource,0.0,0.0,0.0,7.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0
133,The Scooby-Doo Show,ABC,8.0,88.0,1978-11-04,23,TV Series,Cat Creature,Male,Animal,Cat,False,1,3,True,Male,1,Theft,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
134,The Scooby-Doo Show,ABC,7.5,80.0,1978-11-11,23,TV Series,Mantis,Male,Animal,Mantis,False,1,4,True,Male,1,Natural Resource,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
135,The Scooby-Doo Show,ABC,7.5,84.0,1978-11-18,23,TV Series,Phantom,Male,Ghost,Human,False,1,6,True,Male,1,Smuggling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
136,The Scooby-Doo Show,ABC,7.5,85.0,1978-11-25,23,TV Series,Moon Monster,Male,Ghost,Beast,False,1,3,True,Male,1,Theft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
137,The Scooby-Doo Show,ABC,7.5,92.0,1978-12-02,23,TV Series,Ghostly Gondolier,Male,Ghost,Human,False,1,4,True,Male,1,Treasure,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0
138,The Scooby-Doo Show,ABC,7.2,83.0,1978-12-09,23,TV Series,Ghost of Juan Carlos,Male,Ghost,Human,False,1,5,True,Male,1,Treasure,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0
139,The Scooby-Doo Show,ABC,6.8,84.0,1978-12-16,23,TV Series,"Anthos,Devil Hound","Male,Male","Ancient,Animal","Human,Hound",False,2,4,True,"Male,Male",2,Competition,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
140,The Scooby-Doo Show,ABC,7.1,84.0,1978-12-23,23,TV Series,Beast of Bottomless Lake,Male,Animal,Sea-Monster,False,1,4,True,Female,1,Smuggling,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0
