index,gender,medal,athlete,abb,type,year
11663,Men,Silver,TORY Gyorgy,HUN,Swimming,1988
11664,Men,Bronze,SAINI Gianluca,ITA,Swimming,1988
11665,Men,Gold,VAN LOON Jeffrey,NED,Swimming,1988
11666,Men,Silver,PINTO Shlomo,ISR,Swimming,1988
11667,Men,Bronze,BIARE Abdeljalal,MAR,Swimming,1988
11668,Men,Gold,FINDER Piotr,POL,Swimming,1988
11669,Men,Silver,MICOREC Bernard,FRA,Swimming,1988
11670,Men,Bronze,RYDING Wayne,AUS,Swimming,1988
11671,Men,Gold,LEARDY Luis,ESP,Swimming,1988
11672,Men,Silver,HAINEY Tomas,CAN,Swimming,1988
11673,Men,Bronze,DUNNE Gerard,IRL,Swimming,1988
11674,Men,Gold,KENNY Mike,GBR,Swimming,1988
11675,Men,Silver,TRACEY Phillip,AUS,Swimming,1988
11676,Men,Bronze,GILLY William,USA,Swimming,1988
11677,Men,Gold,THOMPSON James,USA,Swimming,1988
11678,Men,Silver,GRIVEAS Kyriakos,GRE,Swimming,1988
11679,Men,Bronze,HAUSLEITNER Gerhard,FRG,Swimming,1988
11680,Men,Gold,SLECZKA Krzysztof,POL,Swimming,1988
11681,Men,Silver,PANCALLI Luca,ITA,Swimming,1988
11682,Men,Bronze,RICCI Fabio,BRA,Swimming,1988
11683,Men,Gold,PETERSSON John,DEN,Swimming,1988
11684,Men,Silver,COSTER Hans,SWE,Swimming,1988
11685,Men,Bronze,MAILLE Franck,FRA,Swimming,1988
11686,Men,Gold,FOPPOLO David,FRA,Swimming,1988
11687,Men,Silver,RICHARD Eric,FRA,Swimming,1988
11688,Men,Bronze,KOZON Bogdan,POL,Swimming,1988
11689,Men,Gold,VAN GEEL Joris,NED,Swimming,1988
11690,Men,Silver,HANCOOK Paul,GBR,Swimming,1988
11691,Men,Bronze,CROUSE Darron,USA,Swimming,1988
11692,Men,Gold,MAGNER Jorgen,SWE,Swimming,1988
11693,Men,Silver,ELOUT Marco,NED,Swimming,1988
11694,Men,Bronze,TOTH Andras,HUN,Swimming,1988
11695,Men,Gold,GIUSSANI Ernesto,ITA,Swimming,1988
11696,Men,Silver,SZPOJNAROWICZ Marek,POL,Swimming,1988
11697,Men,Bronze,DURIEUX Jean Marc,FRA,Swimming,1988
11698,Men,Gold,OWCZAREK Miroslaw,POL,Swimming,1988
11699,Men,Silver,AIT AISSA Mohamed,FRA,Swimming,1988
11700,Men,Bronze,PAWLOWSKI Arkadiusz,POL,Swimming,1988
11701,Men,Gold,LECOURS Stephane,CAN,Swimming,1988
11702,Men,Silver,OSKARSON Jonas,ISL,Swimming,1988
11703,Men,Bronze,MAASSEN Vincent,NED,Swimming,1988
11704,Men,Gold,MOSTERD Johan,NED,Swimming,1988
11705,Men,Silver,GALLAIS Robert,FRA,Swimming,1988
11706,Men,Bronze,WOODS Marc,GBR,Swimming,1988
11707,Men,Gold,CAI Zusheng,CHN,Swimming,1988
11708,Men,Silver,LIU Zebing,CHN,Swimming,1988
11709,Men,Bronze,ANDERSEN Kim Due,DEN,Swimming,1988
11710,Men,Gold,BARNBECK Heinz,FRG,Swimming,1988
11711,Men,Silver,WOJCIECHOWSKI Andrzej,POL,Swimming,1988
11712,Men,Bronze,MIKELIN Roko,YUG,Swimming,1988
11713,Men,Gold,BUDIN Hanoch,ISR,Swimming,1988
11714,Men,Silver,LACROIX Emmanuel,FRA,Swimming,1988
11715,Men,Bronze,MINDORF Philip,CAN,Swimming,1988
11716,Men,Gold,MCISAAC Timothy,CAN,Swimming,1988
11717,Men,Silver,CHER Oleg,URS,Swimming,1988
11718,Men,Bronze,DAGLIO Corrado,ITA,Swimming,1988
11719,Men,Gold,KROL Wieslaw,POL,Swimming,1988
11720,Men,Silver,CORRAL Pablo,ESP,Swimming,1988
11721,Men,Bronze,KRIER Jack,USA,Swimming,1988
11722,Men,Gold,EDGSON Michael,CAN,Swimming,1988
11723,Men,Silver,PEDERSEN Noel,NOR,Swimming,1988
11724,Men,Bronze,FRIEDRICK John,USA,Swimming,1988
11725,Men,Gold,HENNE Haakon,NOR,Swimming,1988
11726,Men,Silver,BADIE Claude,FRA,Swimming,1988
11727,Men,Bronze,AVHAR Boaz,ISR,Swimming,1988
11728,Men,Gold,MANSELL Martin,GBR,Swimming,1988
11729,Men,Silver,QUICKERT Michael,FRG,Swimming,1988
11730,Men,Bronze,CHRISTENSEN Anders,DEN,Swimming,1988
11731,Men,Gold,STOKKEL Johannes,NED,Swimming,1988
11732,Men,Silver,GILBERT Andrew,GBR,Swimming,1988
11733,Men,Bronze,LAPP Michael,FRG,Swimming,1988
11734,Men,Gold,WOELK Holger,FRG,Swimming,1988
11735,Men,Silver,NOBLE Paul,GBR,Swimming,1988
11736,Men,Bronze,DE GROOT Henk,NED,Swimming,1988
11737,Men,Gold,EINARSSON Mats,SWE,Swimming,1988
11738,Men,Silver,GOMEZ Alberto,ESP,Swimming,1988
11739,Men,Bronze,PISETTA Alessandro,ITA,Swimming,1988
11740,Men,Gold,PIELAK Adam,POL,Swimming,1988
11741,Men,Silver,VAN LOON Jeffrey,NED,Swimming,1988
11742,Men,Bronze,TERPENNING James,USA,Swimming,1988
11743,Men,Gold,MICOREC Bernard,FRA,Swimming,1988
11744,Men,Silver,SAJKIEWICZ Zbigniew,POL,Swimming,1988
11745,Men,Bronze,PRISSET Herve,FRA,Swimming,1988
11746,Men,Gold,DUNNE Gerard,IRL,Swimming,1988
11747,Men,Silver,GOTZENS Jorge,ESP,Swimming,1988
11748,Men,Bronze,CASTANE Juan,ESP,Swimming,1988
11749,Men,Gold,KIM Jong Woo,KOR,Swimming,1988
11750,Men,Silver,BADIE Claude,FRA,Swimming,1988
11751,Men,Bronze,AVHAR Boaz,ISR,Swimming,1988
11752,Men,Gold,CHRISTENSEN Anders,DEN,Swimming,1988
11753,Men,Silver,QUICKERT Michael,FRG,Swimming,1988
11754,Men,Bronze,MANSELL Martin,GBR,Swimming,1988
11755,Men,Gold,KENNY Mike,GBR,Swimming,1988
11756,Men,Silver,MASLUP Carlos,ARG,Swimming,1988
11757,Men,Bronze,GILLY William,USA,Swimming,1988
11758,Men,Gold,THOMPSON James,USA,Swimming,1988
11759,Men,Silver,HAUSLEITNER Gerhard,FRG,Swimming,1988
11760,Men,Bronze,DABROWSKI Tomasz,POL,Swimming,1988
11761,Men,Gold,PANCALLI Luca,ITA,Swimming,1988
11762,Men,Silver,SLECZKA Krzysztof,POL,Swimming,1988
11763,Men,Bronze,RICCI Fabio,BRA,Swimming,1988
11764,Men,Gold,PETERSSON John,DEN,Swimming,1988
11765,Men,Silver,COSTER Hans,SWE,Swimming,1988
11766,Men,Bronze,MAILLE Franck,FRA,Swimming,1988
11767,Men,Gold,COHEN Izhar,ISR,Swimming,1988
11768,Men,Silver,NEDERMAN Lars-Ove,SWE,Swimming,1988
11769,Men,Bronze,HUANG Yuefu,CHN,Swimming,1988
11770,Men,Gold,PEDRAJAS Jose,ESP,Swimming,1988
11771,Men,Silver,GHYSEL Eric,FRA,Swimming,1988
11772,Men,Bronze,RESZCZYNSKI Roman,POL,Swimming,1988
11773,Men,Gold,PEDERSEN Noel,NOR,Swimming,1988
11774,Men,Silver,HUDSON Brian,USA,Swimming,1988
11775,Men,Bronze,BUGARIN Kingsley,AUS,Swimming,1988
11776,Men,Gold,VAN GEEL Joris,NED,Swimming,1988
11777,Men,Silver,WOROBETZ Jeff,CAN,Swimming,1988
11778,Men,Bronze,OHORI Takeshi,JPN,Swimming,1988
11779,Men,Gold,SCHLUBECK Matthias,FRG,Swimming,1988
11780,Men,Silver,ELOUT Marco,NED,Swimming,1988
11781,Men,Bronze,CHRISTENSEN Mogens,DEN,Swimming,1988
11782,Men,Gold,EICKEMEYER Bernd,FRG,Swimming,1988
11783,Men,Silver,HALLAM Chris,GBR,Swimming,1988
11784,Men,Bronze,GIUSSANI Ernesto,ITA,Swimming,1988
11785,Men,Gold,JAQUISS Ian,USA,Swimming,1988
11786,Men,Silver,PAWLOWSKI Arkadiusz,POL,Swimming,1988
11787,Men,Bronze,WANGER Joseph,ISR,Swimming,1988
11788,Men,Gold,WU Yan Hu,CHN,Swimming,1988
11789,Men,Silver,LIU Wenhua,CHN,Swimming,1988
11790,Men,Bronze,DUKAI Geza,HUN,Swimming,1988
11791,Men,Gold,LECOURS Stephane,CAN,Swimming,1988
11792,Men,Silver,DOYLE Michael,USA,Swimming,1988
11793,Men,Bronze,CHRYCZYK Jan,POL,Swimming,1988
11794,Men,Gold,MOSTERD Johan,NED,Swimming,1988
11795,Men,Silver,ZHANG Jiaman,CHN,Swimming,1988
11796,Men,Bronze,MCGRATH Sean,IRL,Swimming,1988
11797,Men,Gold,RICHARD Eric,FRA,Swimming,1988
11798,Men,Silver,GIOVANNETTI Stefano,ITA,Swimming,1988
11799,Men,Bronze,KOZON Bogdan,POL,Swimming,1988
11800,Men,Gold,CAI Zusheng,CHN,Swimming,1988
11801,Men,Silver,LIU Zebing,CHN,Swimming,1988
11802,Men,Bronze,TAKACS Sandor,HUN,Swimming,1988
11803,Men,Gold,HAMMOND Gregory,AUS,Swimming,1988
11804,Men,Silver,SVERRISSON Geir,ISL,Swimming,1988
11805,Men,Bronze,BUDIN Hanoch,ISR,Swimming,1988
11806,Men,Gold,NEDERMAN Lars-Ove,SWE,Swimming,1988
11807,Men,Silver,COHEN Izhar,ISR,Swimming,1988
11808,Men,Bronze,SIGIDOV Vladimir,URS,Swimming,1988
11809,Men,Gold,PEDRAJAS Jose,ESP,Swimming,1988
11810,Men,Silver,GAPON Alexandre,URS,Swimming,1988
11811,Men,Bronze,RESZCZYNSKI Roman,POL,Swimming,1988
11812,Men,Gold,PEDERSEN Noel,NOR,Swimming,1988
11813,Men,Silver,HUDSON Brian,USA,Swimming,1988
11814,Men,Bronze,BUGARIN Kingsley,AUS,Swimming,1988
11815,Men,Gold,SURGEONER Robin,GBR,Swimming,1988
11816,Men,Silver,BRISENFELT Mats,SWE,Swimming,1988
11817,Men,Bronze,NOE Hans Ole,DEN,Swimming,1988
11818,Men,Gold,PAUWELS Hans,BEL,Swimming,1988
11819,Men,Silver,BUYGEL Patrick,NED,Swimming,1988
11820,Men,Bronze,BAE Sang Tae,KOR,Swimming,1988
11821,Men,Gold,STOKKEL Johannes,NED,Swimming,1988
11822,Men,Silver,FLEURY Eric,FRA,Swimming,1988
11823,Men,Bronze,TRONDSEN Erling,NOR,Swimming,1988
11824,Men,Gold,DE GROOT Henk,NED,Swimming,1988
11825,Men,Silver,WOELK Holger,FRG,Swimming,1988
11826,Men,Bronze,STURKENBOOM Rutger,NED,Swimming,1988
11827,Men,Gold,HAHNENGRESS Jochen,FRG,Swimming,1988
11828,Men,Silver,EINARSSON Mats,SWE,Swimming,1988
11829,Men,Bronze,GOMEZ Alberto,ESP,Swimming,1988
11830,Men,Gold,VAN LOON Jeffrey,NED,Swimming,1988
11831,Men,Silver,PINTO Shlomo,ISR,Swimming,1988
11832,Men,Bronze,PIELAK Adam,POL,Swimming,1988
11833,Men,Gold,MICOREC Bernard,FRA,Swimming,1988
11834,Men,Silver,SAJKIEWICZ Zbigniew,POL,Swimming,1988
11835,Men,Bronze,AHLSTAD Simon,SWE,Swimming,1988
11836,Men,Gold,NEDERMAN Lars-Ove,SWE,Swimming,1988
11837,Men,Silver,SIGIDOV Vladimir,URS,Swimming,1988
11838,Men,Bronze,MCISAAC Timothy,CAN,Swimming,1988
11839,Men,Gold,PEDRAJAS Jose,ESP,Swimming,1988
11840,Men,Silver,GAPON Alexandre,URS,Swimming,1988
11841,Men,Bronze,RESZCZYNSKI Roman,POL,Swimming,1988
11842,Men,Gold,PEDERSEN Noel,NOR,Swimming,1988
11843,Men,Silver,HUDSON Brian,USA,Swimming,1988
11844,Men,Bronze,BUGARIN Kingsley,AUS,Swimming,1988
11845,Men,Gold,DE VIDI Alvise,ITA,Swimming,1988
11846,Men,Silver,GILLY William,USA,Swimming,1988
11847,Men,Bronze,HAGER Scott,USA,Swimming,1988
11848,Men,Gold,THOMPSON James,USA,Swimming,1988
11849,Men,Silver,HAUSLEITNER Gerhard,FRG,Swimming,1988
11850,Men,Bronze,MAREI Ashraf,EGY,Swimming,1988
11851,Men,Gold,SULLIVAN Kevin,USA,Swimming,1988
11852,Men,Silver,BUTLER Mark,GBR,Swimming,1988
11853,Men,Bronze,SZPOJNAROWICZ Marek,POL,Swimming,1988
11854,Men,Gold,PAWLOWSKI Arkadiusz,POL,Swimming,1988
11855,Men,Silver,MOYSES Patrick,FRA,Swimming,1988
11856,Men,Bronze,OWCZAREK Miroslaw,POL,Swimming,1988
11857,Men,Gold,FOPPOLO David,FRA,Swimming,1988
11858,Men,Silver,RICHARD Eric,FRA,Swimming,1988
11859,Men,Bronze,KOZON Bogdan,POL,Swimming,1988
11860,Men,Gold,MAGNER Jorgen,SWE,Swimming,1988
11861,Men,Silver,CHRISTENSEN Mogens,DEN,Swimming,1988
11862,Men,Bronze,ANDERSEN Kim,DEN,Swimming,1988
11863,Men,Gold,PINTO Shlomo,ISR,Swimming,1988
11864,Men,Silver,VAN LOON Jeffrey,NED,Swimming,1988
11865,Men,Bronze,AVOLAIR Pascal,FRA,Swimming,1988
11866,Men,Gold,LECOURS Stephane,CAN,Swimming,1988
11867,Men,Silver,ALDOUS Peter,GBR,Swimming,1988
11868,Men,Bronze,GRIFFIN David,AUS,Swimming,1988
11869,Men,Gold,BOLOTIN Ron,ISR,Swimming,1988
11870,Men,Silver,MORETON David,GBR,Swimming,1988
11871,Men,Bronze,MOSTERD Johan,NED,Swimming,1988
11872,Men,Gold,LIU Zebing,CHN,Swimming,1988
11873,Men,Silver,ODACHOWSKI Zbigniew,POL,Swimming,1988
11874,Men,Bronze,ANDERSEN Kim Due,DEN,Swimming,1988
11875,Men,Gold,LIU Gui Ping,CHN,Swimming,1988
11876,Men,Silver,KJELLQVIST Tomas,SWE,Swimming,1988
11877,Men,Bronze,LACROIX Emmanuel,FRA,Swimming,1988
11878,Men,Gold,MCISAAC Timothy,CAN,Swimming,1988
11879,Men,Silver,DAUDEN Alberto,ESP,Swimming,1988
11880,Men,Bronze,MARY Jorge,ESP,Swimming,1988
11881,Men,Gold,GRENON Lee,CAN,Swimming,1988
11882,Men,Silver,RESZCZYNSKI Roman,POL,Swimming,1988
11883,Men,Bronze,GHYSEL Eric,FRA,Swimming,1988
11884,Men,Gold,EDGSON Michael,CAN,Swimming,1988
11885,Men,Silver,BERTHELSEN Flemming,DEN,Swimming,1988
11886,Men,Bronze,SHARPE Ian,GBR,Swimming,1988
11887,Men,Gold,TRONDSEN Erling,NOR,Swimming,1988
11888,Men,Silver,POULISSE Marcel,NED,Swimming,1988
11889,Men,Bronze,STOKKEL Johannes,NED,Swimming,1988
11890,Men,Gold,NOBLE Paul,GBR,Swimming,1988
11891,Men,Silver,DUPIN Claude,FRA,Swimming,1988
11892,Men,Bronze,EIRIKSSON Olafur,ISL,Swimming,1988
11893,Men,Gold,EINARSSON Mats,SWE,Swimming,1988
11894,Men,Silver,GOMEZ Alberto,ESP,Swimming,1988
11895,Men,Bronze,RAMOS SANTOS Leandro,BRA,Swimming,1988
11896,Men,Gold,FINDER Piotr,POL,Swimming,1988
11897,Men,Silver,GALINDO Moises,MEX,Swimming,1988
11898,Men,Bronze,MICOREC Bernard,FRA,Swimming,1988
11899,Men,Gold,DUNNE Gerard,IRL,Swimming,1988
11900,Men,Silver,HAINEY Tomas,CAN,Swimming,1988
11901,Men,Bronze,LEARDY Luis,ESP,Swimming,1988
11902,Men,Gold,KENNY Mike,GBR,Swimming,1988
11903,Men,Silver,MASLUP Carlos,ARG,Swimming,1988
11904,Men,Bronze,HEGAZI Al Mootasem Haly,EGY,Swimming,1988
11905,Men,Gold,THOMPSON James,USA,Swimming,1988
11906,Men,Silver,DABROWSKI Tomasz,POL,Swimming,1988
11907,Men,Bronze,HAUSLEITNER Gerhard,FRG,Swimming,1988
11908,Men,Gold,SZPOJNAROWICZ Marek,POL,Swimming,1988
11909,Men,Silver,GIUSSANI Ernesto,ITA,Swimming,1988
11910,Men,Bronze,EICKEMEYER Bernd,FRG,Swimming,1988
11911,Men,Gold,PAWLOWSKI Arkadiusz,POL,Swimming,1988
11912,Men,Silver,OWCZAREK Miroslaw,POL,Swimming,1988
11913,Men,Bronze,GIBSON Brent,NZL,Swimming,1988
11914,Men,Gold,WU Yan Hu,CHN,Swimming,1988
11915,Men,Silver,LIU Wenhua,CHN,Swimming,1988
11916,Men,Bronze,JEZNACH Artur,POL,Swimming,1988
11917,Men,Gold,LECOURS Stephane,CAN,Swimming,1988
11918,Men,Silver,DOYLE Michael,USA,Swimming,1988
11919,Men,Bronze,MAASSEN Vincent,NED,Swimming,1988
11920,Men,Gold,MOSTERD Johan,NED,Swimming,1988
11921,Men,Silver,BOLOTIN Ron,ISR,Swimming,1988
11922,Men,Bronze,MORETON David,GBR,Swimming,1988
11923,Men,Gold,FOPPOLO David,FRA,Swimming,1988
11924,Men,Silver,KOZON Bogdan,POL,Swimming,1988
11925,Men,Bronze,RICHARD Eric,FRA,Swimming,1988
11926,Men,Gold,CAI Zusheng,CHN,Swimming,1988
11927,Men,Silver,ANDERSEN Kim Due,DEN,Swimming,1988
11928,Men,Bronze,LIU Zebing,CHN,Swimming,1988
11929,Men,Gold,BUDIN Hanoch,ISR,Swimming,1988
11930,Men,Silver,LIU Gui Ping,CHN,Swimming,1988
11931,Men,Bronze,KJELLQVIST Tomas,SWE,Swimming,1988
11932,Men,Gold,MCISAAC Timothy,CAN,Swimming,1988
11933,Men,Silver,CHER Oleg,URS,Swimming,1988
11934,Men,Bronze,MARY Jorge,ESP,Swimming,1988
11935,Men,Gold,ANDERSSON Per,SWE,Swimming,1988
11936,Men,Silver,CORRAL Jose,ESP,Swimming,1988
11937,Men,Bronze,GHYSEL Eric,FRA,Swimming,1988
11938,Men,Gold,EDGSON Michael,CAN,Swimming,1988
11939,Men,Silver,PEDERSEN Noel,NOR,Swimming,1988
11940,Men,Bronze,HUDSON Brian,USA,Swimming,1988
11941,Men,Gold,CHRISTENSEN Anders,DEN,Swimming,1988
11942,Men,Silver,MANSELL Martin,GBR,Swimming,1988
11943,Men,Bronze,QUICKERT Michael,FRG,Swimming,1988
11944,Men,Gold,PAUWELS Hans,BEL,Swimming,1988
11945,Men,Silver,MAYR Karl,AUT,Swimming,1988
11946,Men,Bronze,BECSEY Janos,HUN,Swimming,1988
11947,Men,Gold,MAGNER Jorgen,SWE,Swimming,1988
11948,Men,Silver,CHRISTENSEN Mogens,DEN,Swimming,1988
11949,Men,Bronze,ELOUT Marco,NED,Swimming,1988
11950,Men,Gold,TRONDSEN Erling,NOR,Swimming,1988
11951,Men,Silver,STOKKEL Johannes,NED,Swimming,1988
11952,Men,Bronze,POULISSE Marcel,NED,Swimming,1988
11953,Men,Gold,WOELK Holger,FRG,Swimming,1988
11954,Men,Silver,NOBLE Paul,GBR,Swimming,1988
11955,Men,Bronze,STURKENBOOM Rutger,NED,Swimming,1988
11956,Men,Gold,EINARSSON Mats,SWE,Swimming,1988
11957,Men,Silver,SAINI Gianluca,ITA,Swimming,1988
11958,Men,Bronze,GOMEZ Alberto,ESP,Swimming,1988
11959,Men,Gold,PINTO Shlomo,ISR,Swimming,1988
11960,Men,Silver,VAN LOON Jeffrey,NED,Swimming,1988
11961,Men,Bronze,AVOLAIR Pascal,FRA,Swimming,1988
11962,Men,Gold,GALINDO Moises,MEX,Swimming,1988
11963,Men,Silver,MICOREC Bernard,FRA,Swimming,1988
11964,Men,Bronze,SAJKIEWICZ Zbigniew,POL,Swimming,1988
11965,Men,Gold,LEARDY Luis,ESP,Swimming,1988
11966,Men,Silver,HAINEY Tomas,CAN,Swimming,1988
11967,Men,Bronze,DUNNE Gerard,IRL,Swimming,1988
11968,Men,Gold,ANDERSSON Per,SWE,Swimming,1988
11969,Men,Silver,KROL Wieslaw,POL,Swimming,1988
11970,Men,Bronze,GRENON Lee,CAN,Swimming,1988
11971,Men,Gold,EDGSON Michael,CAN,Swimming,1988
11972,Men,Silver,HUDSON Brian,USA,Swimming,1988
11973,Men,Bronze,PEDERSEN Noel,NOR,Swimming,1988
11974,Men,Gold,United States of America,USA,Swimming,1988
11975,Men,Silver,Great Britain,GBR,Swimming,1988
11976,Men,Bronze,Italy,ITA,Swimming,1988
11977,Men,Gold,United States of America,USA,Swimming,1988
11978,Men,Silver,Poland,POL,Swimming,1988
11979,Men,Bronze,Israel,ISR,Swimming,1988
11980,Women,Gold,BURTON Janice,GBR,Swimming,1988
11981,Women,Silver,TJERNBERG Magdalena,SWE,Swimming,1988
11982,Women,Bronze,WEICKER Yvette,CAN,Swimming,1988
11983,Women,Gold,ZORN Trischa,USA,Swimming,1988
11984,Women,Silver,MCDOWELL Angela,GBR,Swimming,1988
11985,Women,Bronze,CHIPOVALOVA Tatiana,URS,Swimming,1988
11986,Women,Gold,BRANDEWIE Debra,USA,Swimming,1988
11987,Women,Silver,MAKSIMOVA Nadejda,URS,Swimming,1988
11988,Women,Bronze,TJERNBERG Gabriella,SWE,Swimming,1988
11989,Women,Gold,PAIROUX Genevieve,FRA,Swimming,1988
11990,Women,Silver,PIERRE Beatrice,FRA,Swimming,1988
11991,Women,Bronze,OSTERSTROM Anne-Lie,SWE,Swimming,1988
11992,Women,Gold,JOHANSSON Marita,SWE,Swimming,1988
11993,Women,Silver,STEWART Nancy,USA,Swimming,1988
11994,Women,Bronze,NIKKILA Ritva,FIN,Swimming,1988
11995,Women,Gold,GETTINGER Cynthia,USA,Swimming,1988
11996,Women,Silver,SMITH Judith,USA,Swimming,1988
11997,Women,Bronze,LILLECRAPP Lynette,AUS,Swimming,1988
11998,Women,Gold,KARLSSON Cecilia,SWE,Swimming,1988
11999,Women,Silver,WILSON Jan,USA,Swimming,1988
12000,Women,Bronze,SNORRADOTTIR Lilja,ISL,Swimming,1988
12001,Women,Gold,BARLUND Gritt,DEN,Swimming,1988
12002,Women,Silver,MUCZ Joanne,CAN,Swimming,1988
12003,Women,Bronze,BARR Dianne,GBR,Swimming,1988
12004,Women,Gold,BROKHOLC Kristina,SWE,Swimming,1988
12005,Women,Silver,HEDE Charlotte,DEN,Swimming,1988
12006,Women,Bronze,PERRIGO Staci,USA,Swimming,1988
12007,Women,Gold,TJERNBERG Magdalena,SWE,Swimming,1988
12008,Women,Silver,WEICKER Yvette,CAN,Swimming,1988
12009,Women,Bronze,BURTON Janice,GBR,Swimming,1988
12010,Women,Gold,ZORN Trischa,USA,Swimming,1988
12011,Women,Silver,MCDOWELL Angela,GBR,Swimming,1988
12012,Women,Bronze,CHIPOVALOVA Tatiana,URS,Swimming,1988
12013,Women,Gold,BRANDEWIE Debra,USA,Swimming,1988
12014,Women,Silver,TJERNBERG Gabriella,SWE,Swimming,1988
12015,Women,Bronze,MAKSIMOVA Nadejda,URS,Swimming,1988
12016,Women,Gold,BARKER Tammy,CAN,Swimming,1988
12017,Women,Silver,STIDEVER Jane,GBR,Swimming,1988
12018,Women,Bronze,SISSO Miri,ISR,Swimming,1988
12019,Women,Gold,YAXLEY Sandra,AUS,Swimming,1988
12020,Women,Silver,BINET Helene,FRA,Swimming,1988
12021,Women,Bronze,CHICK Susan,CAN,Swimming,1988
12022,Women,Gold,AARTS Marga,NED,Swimming,1988
12023,Women,Silver,JOHANSEN Katrin,FRO,Swimming,1988
12024,Women,Bronze,GOODRICH Judy,CAN,Swimming,1988
12025,Women,Gold,JOHANSSON Marita,SWE,Swimming,1988
12026,Women,Silver,NIKKILA Ritva,FIN,Swimming,1988
12027,Women,Bronze,ANDERSEN Anne-Dorte,DEN,Swimming,1988
12028,Women,Gold,KRAJEWSKA Lucyna,POL,Swimming,1988
12029,Women,Silver,SIEGERS Britta,FRG,Swimming,1988
12030,Women,Bronze,BERGER SETHER Maj,NOR,Swimming,1988
12031,Women,Gold,BERAUDIAS Agnes,FRA,Swimming,1988
12032,Women,Silver,CRISTALLO Goislaine,FRA,Swimming,1988
12033,Women,Bronze,RANTANEN Miia,FIN,Swimming,1988
12034,Women,Bronze,LEWIS Helen,GBR,Swimming,1988
12035,Women,Gold,HENGST Claudia,FRG,Swimming,1988
12036,Women,Silver,VID KELDU Tora,FRO,Swimming,1988
12037,Women,Bronze,VERMEULEN Sjerstin,NED,Swimming,1988
12038,Women,Gold,GULL Beverley,GBR,Swimming,1988
12039,Women,Silver,ADAMS Arden,USA,Swimming,1988
12040,Women,Bronze,AXELSDOTTIR Soley,ISL,Swimming,1988
12041,Women,Gold,PEIRO Ana,ESP,Swimming,1988
12042,Women,Silver,EROLES Esther,ESP,Swimming,1988
12043,Women,Bronze,ADAMIK Malgozata,POL,Swimming,1988
12044,Women,Gold,MOREIRA ALVES Graciana,BRA,Swimming,1988
12045,Women,Silver,CLARKE Nancy,USA,Swimming,1988
12046,Women,Bronze,MATOS Maria Jussara,BRA,Swimming,1988
12047,Women,Gold,BARKER Tammy,CAN,Swimming,1988
12048,Women,Silver,STIDEVER Jane,GBR,Swimming,1988
12049,Women,Bronze,WILLIAMS Victoria,USA,Swimming,1988
12050,Women,Gold,KARLSSON Cecilia,SWE,Swimming,1988
12051,Women,Silver,WALTERS Linda,GBR,Swimming,1988
12052,Women,Bronze,HOLLAND Deborah,AUS,Swimming,1988
12053,Women,Gold,MUCZ Joanne,CAN,Swimming,1988
12054,Women,Silver,BARLUND Gritt,DEN,Swimming,1988
12055,Women,Bronze,BARR Dianne,GBR,Swimming,1988
12056,Women,Gold,YOUNG Judith,AUS,Swimming,1988
12057,Women,Silver,HEDE Charlotte,DEN,Swimming,1988
12058,Women,Bronze,DURANCEAU Isabelle,FRA,Swimming,1988
12059,Women,Gold,TJERNBERG Magdalena,SWE,Swimming,1988
12060,Women,Silver,BURTON Janice,GBR,Swimming,1988
12061,Women,Bronze,KUKKONEN Eeva Riitta,FIN,Swimming,1988
12062,Women,Gold,ZORN Trischa,USA,Swimming,1988
12063,Women,Silver,ANDERSSON Eva,SWE,Swimming,1988
12064,Women,Bronze,MCDOWELL Angela,GBR,Swimming,1988
12065,Women,Gold,BRANDEWIE Debra,USA,Swimming,1988
12066,Women,Silver,TJERNBERG Gabriella,SWE,Swimming,1988
12067,Women,Bronze,ARNOLD Michelle,CAN,Swimming,1988
12068,Women,Gold,STIDEVER Jane,GBR,Swimming,1988
12069,Women,Silver,NAESS Christina,FRO,Swimming,1988
12070,Women,Bronze,WILLIAMS Victoria,USA,Swimming,1988
12071,Women,Gold,HENGST Claudia,FRG,Swimming,1988
12072,Women,Silver,VERMEULEN Sjerstin,NED,Swimming,1988
12073,Women,Bronze,VID KELDU Tora,FRO,Swimming,1988
12074,Women,Gold,GULL Beverley,GBR,Swimming,1988
12075,Women,Silver,ADAMS Arden,USA,Swimming,1988
12076,Women,Bronze,TOUCHI Hisako,JPN,Swimming,1988
12077,Women,Gold,PEIRO Ana,ESP,Swimming,1988
12078,Women,Silver,EROLES Esther,ESP,Swimming,1988
12079,Women,Bronze,ADAMIK Malgozata,POL,Swimming,1988
12080,Women,Gold,KOPP Heidi,FRG,Swimming,1988
12081,Women,Silver,CLARKE Nancy,USA,Swimming,1988
12082,Women,Bronze,JAVALOYA Pilar,ESP,Swimming,1988
12083,Women,Gold,PIERRE Beatrice,FRA,Swimming,1988
12084,Women,Silver,OSTERSTROM Anne-Lie,SWE,Swimming,1988
12085,Women,Bronze,PAIROUX Genevieve,FRA,Swimming,1988
12086,Women,Gold,BINET Helene,FRA,Swimming,1988
12087,Women,Silver,YAXLEY Sandra,AUS,Swimming,1988
12088,Women,Bronze,SLOAN Stephanie,USA,Swimming,1988
12089,Women,Gold,NIKKILA Ritva,FIN,Swimming,1988
